iucn_sid,sciname,population,category,common
180226,Holothuria erinaceaus,NA,LC,NA
19708732,Actinopyga varians,NA,DD,NA
180231,Holothuria verrucosa,NA,LC,NA
180437,Holothuria arenicola,NA,DD,NA
173352,Halophila decipiens,NA,LC,Paddle Grass
177955,Ctenochaetus binotatus,NA,LC,Two-spot Bristletooth
177950,Naso lituratus,NA,LC,Orange Spine Surgeonfish
178017,Acanthurus nigricauda,NA,LC,Blackstreak Surgeonfish
177970,Naso unicornis,NA,LC,Bluespine Unicornfish
178001,Zebrasoma rostratum,NA,DD,Longnose Tang
177990,Naso brevirostris,NA,LC,Palefin Unicornfish
178014,Ctenochaetus hawaiiensis,NA,LC,Hawaiian Bristletooth
177965,Acanthurus triostegus,NA,LC,Convict Surgeonfish
177989,Acanthurus xanthopterus,NA,LC,Yellowfin Surgeonfish
177983,Naso brachycentron,NA,LC,Humpback Unicornfish
177988,Naso annulatus,NA,LC,Whitemargin Unicornfish
177993,Acanthurus lineatus,NA,LC,Lined Surgeonfish
155120,Naso vlamingii,NA,LC,Bignose Unicornfish
177995,Acanthurus guttatus,NA,LC,Whitespotted Surgeonfish
177964,Ctenochaetus marginatus,NA,LC,Blue-spotted Bristletooth
178008,Acanthurus thompsoni,NA,LC,Thompson's Surgeonfish
177969,Acanthurus nigricans,NA,LC,Golden Rim Surgeonfish
178022,Acanthurus pyroferus,NA,LC,Mimic Surgeonfish
177991,Acanthurus olivaceus,NA,LC,Orange band Surgeonfish
178011,Acanthurus leucopareius,NA,LC,Whitebar Surgeonfish
178010,Zebrasoma veliferum,NA,LC,Sailfin Tang
178013,Naso caesius,NA,LC,Gray Unicornfish
178005,Zebrasoma scopas,NA,LC,Brushtail Tang
177960,Acanthurus achilles,NA,LC,Achilles Tang
177971,Acanthurus blochii,NA,LC,Ringtail Surgeonfish
178018,Ctenochaetus flavicauda,NA,LC,Whitetail Bristletooth
178019,Acanthurus nigrofuscus,NA,LC,Brown Surgeonfish
178002,Naso hexacanthus,NA,LC,Sleek Unicornfish
177967,Acanthurus mata,NA,LC,Elongate Surgeonfish
177961,Acanthurus nubilus,NA,LC,Dropoff Surgeonfish
178012,Ctenochaetus striatus,NA,LC,Striped Bristletooth
6814,Dunckerocampus dactyliophorus,NA,DD,Banded Pipefish
16781113,Fistularia petimba,NA,LC,Red Cornetfish
18257780,Fistularia commersonii,NA,LC,Bluespotted Cornetfish
181547,Microphis brachyurus,NA,LC,Opossum Pipefish
183214,Doryrhamphus excisus,NA,LC,Bluestripe Pipefish
196441,Microphis argulus,NA,LC,Flat-nosed Pipefish 
65364553,Choeroichthys sculptus,NA,LC,Sculptured Pipefish 
65364818,Corythoichthys flavofasciatus,NA,LC,Network Pipefish
65365012,Corythoichthys nigripectus,NA,LC,Black-breasted Pipefish
65365838,Cosmocampus howensis,NA,LC,Lord Howe pipefish
65134886,Aulostomus chinensis,NA,LC,Chinese Trumpetfish
65370525,Micrognathus brevirostris,NA,LC,Pygmy Pipefish
65371194,Minyichthys myersi,NA,LC,Myers' Pipefish
8407,Eurypegasus draconis,NA,LC,Short Dragonfish
170342,Gymnosarda unicolor,NA,LC,Dogtooth Tuna
170310,Katsuwonus pelamis,NA,LC,Skipjack Tuna
170336,Euthynnus affinis,NA,LC,Kawakawa
170341,Thunnus orientalis,NA,VU,Pacific Bluefin Tuna
21857,Thunnus albacares,NA,NT,Yellowfin Tuna
170314,Makaira nigricans,NA,VU,Blue Marlin
170315,Tetrapturus angustirostris,NA,DD,Shortbill Spearfish
21856,Thunnus alalunga,NA,NT,Albacore Tuna
23148,Xiphias gladius,NA,LC,Swordfish
170309,Kajikia audax,NA,NT,Striped Marlin
21859,Thunnus obesus,NA,VU,Bigeye Tuna
170338,Istiophorus platypterus,NA,LC,Sailfish
170312,Istiompax indica,NA,DD,Black Marlin
154623,Cheilinus trilobatus,NA,LC,Tripletail Wrasse
155146,Anampses melanurus,NA,LC,White-spotted Wrasse
187382,Halichoeres marginatus,NA,LC,Dusky Wrasse
187384,Cheilinus chlorourus,NA,LC,White-dotted maori wrasse
187407,Wetmorella nigropinnata,NA,LC,Yellow-banded possum wrasse
187411,Iniistius pentadactylus,NA,LC,Red-spot razor wrasse
187436,Coris gaimard,NA,LC,African clown wrasse
187441,Novaculichthys taeniourus,NA,LC,Olive-scribbled wrasse
187461,Cirrhilabrus exquisitus,NA,DD,Exquisite wrasse
187477,Pseudocheilinus hexataenia,NA,LC,Six-line wrasse
187490,Thalassoma amblycephalum,NA,LC,Bluntheaded wrasse
187530,Cymolutes torquatus,NA,LC,Finescale razorfish
187559,Thalassoma hardwicke,NA,LC,Six-banded wrasse
