"sciname","class"
"bohadschia argus","holothuroidea"
"pearsonothuria graeffei","holothuroidea"
"holothuria atra","holothuroidea"
"actinopyga miliaris","holothuroidea"
"holothuria erinaceaus","holothuroidea"
"actinopyga varians","holothuroidea"
"holothuria verrucosa","holothuroidea"
"holothuria arenicola","holothuroidea"
"halophila decipiens","liliopsida"
"ctenochaetus binotatus","actinopterygii"
"naso lituratus","actinopterygii"
"acanthurus nigricauda","actinopterygii"
"naso unicornis","actinopterygii"
"zebrasoma rostratum","actinopterygii"
"naso brevirostris","actinopterygii"
"ctenochaetus hawaiiensis","actinopterygii"
"acanthurus triostegus","actinopterygii"
"acanthurus xanthopterus","actinopterygii"
"naso brachycentron","actinopterygii"
"naso annulatus","actinopterygii"
"acanthurus lineatus","actinopterygii"
"naso vlamingii","actinopterygii"
"acanthurus guttatus","actinopterygii"
"ctenochaetus marginatus","actinopterygii"
"acanthurus thompsoni","actinopterygii"
"acanthurus nigricans","actinopterygii"
"acanthurus pyroferus","actinopterygii"
"acanthurus olivaceus","actinopterygii"
"acanthurus leucopareius","actinopterygii"
"zebrasoma veliferum","actinopterygii"
"naso caesius","actinopterygii"
"zebrasoma scopas","actinopterygii"
"acanthurus achilles","actinopterygii"
"acanthurus blochii","actinopterygii"
"ctenochaetus flavicauda","actinopterygii"
"acanthurus nigrofuscus","actinopterygii"
"naso hexacanthus","actinopterygii"
"acanthurus mata","actinopterygii"
"acanthurus nubilus","actinopterygii"
"ctenochaetus striatus","actinopterygii"
"dunckerocampus dactyliophorus","actinopterygii"
"fistularia petimba","actinopterygii"
"fistularia commersonii","actinopterygii"
"microphis brachyurus","actinopterygii"
"doryrhamphus excisus","actinopterygii"
"microphis argulus","actinopterygii"
"choeroichthys sculptus","actinopterygii"
"corythoichthys flavofasciatus","actinopterygii"
"corythoichthys nigripectus","actinopterygii"
"cosmocampus howensis","actinopterygii"
"aulostomus chinensis","actinopterygii"
"micrognathus brevirostris","actinopterygii"
"minyichthys myersi","actinopterygii"
"eurypegasus draconis","actinopterygii"
"gymnosarda unicolor","actinopterygii"
"katsuwonus pelamis","actinopterygii"
"euthynnus affinis","actinopterygii"
"thunnus orientalis","actinopterygii"
"thunnus albacares","actinopterygii"
"makaira nigricans","actinopterygii"
"tetrapturus angustirostris","actinopterygii"
"thunnus alalunga","actinopterygii"
"xiphias gladius","actinopterygii"
"kajikia audax","actinopterygii"
"thunnus obesus","actinopterygii"
"istiophorus platypterus","actinopterygii"
"istiompax indica","actinopterygii"
"cheilinus trilobatus","actinopterygii"
"anampses melanurus","actinopterygii"
"halichoeres marginatus","actinopterygii"
"cheilinus chlorourus","actinopterygii"
"wetmorella nigropinnata","actinopterygii"
"iniistius pentadactylus","actinopterygii"
"coris gaimard","actinopterygii"
"novaculichthys taeniourus","actinopterygii"
"cirrhilabrus exquisitus","actinopterygii"
"pseudocheilinus hexataenia","actinopterygii"
"thalassoma amblycephalum","actinopterygii"
"cymolutes torquatus","actinopterygii"
"thalassoma hardwicke","actinopterygii"
"pseudojuloides atavai","actinopterygii"
"pseudocoris aurantiofasciata","actinopterygii"
"halichoeres hortulanus","actinopterygii"
"oxycheilinus unifasciatus","actinopterygii"
"thalassoma lutescens","actinopterygii"
"oxycheilinus arenatus","actinopterygii"
"epibulus insidiator","actinopterygii"
"thalassoma quinquevittatum","actinopterygii"
"oxycheilinus lineatus","actinopterygii"
"pseudocheilinus tetrataenia","actinopterygii"
"labropsis polynesica","actinopterygii"
"thalassoma purpureum","actinopterygii"
"polylepion russelli","actinopterygii"
"calotomus carolinus","actinopterygii"
"cetoscarus ocellatus","actinopterygii"
"scarus globiceps","actinopterygii"
"scarus altipinnis","actinopterygii"
"chlorurus microrhinos","actinopterygii"
"scarus psittacus","actinopterygii"
"scarus niger","actinopterygii"
"scarus forsteni","actinopterygii"
"scarus pyrrostethus","actinopterygii"
"scarus oviceps","actinopterygii"
"scarus schlegeli","actinopterygii"
"pseudocheilinus ocellatus","actinopterygii"
"hemigymnus fasciatus","actinopterygii"
"cheilio inermis","actinopterygii"
"labroides dimidiatus","actinopterygii"
"stethojulis bandanensis","actinopterygii"
"halichoeres margaritaceus","actinopterygii"
"halichoeres trimaculatus","actinopterygii"
"stethojulis strigiventer","actinopterygii"
"bodianus axillaris","actinopterygii"
"oxycheilinus bimaculatus","actinopterygii"
"gomphosus varius","actinopterygii"
"wetmorella albofasciata","actinopterygii"
"halichoeres melasmapomus","actinopterygii"
"cirrhilabrus scottorum","actinopterygii"
