"name","sciname","iucn_sid","category","stat_score","year"
"bignose unicornfish","naso vlamingii",155120,"LC",1,2020
"whitespotted surgeonfish","acanthurus guttatus",177995,"LC",1,2020
"blue-spotted bristletooth","ctenochaetus marginatus",177964,"LC",1,2020
"thompson's surgeonfish","acanthurus thompsoni",178008,"LC",1,2020
"golden rim surgeonfish","acanthurus nigricans",177969,"LC",1,2020
"mimic surgeonfish","acanthurus pyroferus",178022,"LC",1,2020
"orange band surgeonfish","acanthurus olivaceus",177991,"LC",1,2020
"whitebar surgeonfish","acanthurus leucopareius",178011,"LC",1,2020
"sailfin tang","zebrasoma veliferum",178010,"LC",1,2020
"gray unicornfish","naso caesius",178013,"LC",1,2020
"brushtail tang","zebrasoma scopas",178005,"LC",1,2020
"achilles tang","acanthurus achilles",177960,"LC",1,2020
"ringtail surgeonfish","acanthurus blochii",177971,"LC",1,2020
"whitetail bristletooth","ctenochaetus flavicauda",178018,"LC",1,2020
"brown surgeonfish","acanthurus nigrofuscus",178019,"LC",1,2020
"sleek unicornfish","naso hexacanthus",178002,"LC",1,2020
"elongate surgeonfish","acanthurus mata",177967,"LC",1,2020
"dropoff surgeonfish","acanthurus nubilus",177961,"LC",1,2020
"striped bristletooth","ctenochaetus striatus",178012,"LC",1,2020
"banded pipefish","dunckerocampus dactyliophorus",6814,"DD",NA,2020
"red cornetfish","fistularia petimba",16781113,"LC",1,2020
"bluespotted cornetfish","fistularia commersonii",18257780,"LC",1,2020
"opossum pipefish","microphis brachyurus",181547,"LC",1,2020
"bluestripe pipefish","doryrhamphus excisus",183214,"LC",1,2020
"flat-nosed pipefish","microphis argulus",196441,"LC",1,2020
"sculptured pipefish","choeroichthys sculptus",65364553,"LC",1,2020
"network pipefish","corythoichthys flavofasciatus",65364818,"LC",1,2020
"black-breasted pipefish","corythoichthys nigripectus",65365012,"LC",1,2020
"lord howe pipefish","cosmocampus howensis",65365838,"LC",1,2020
"chinese trumpetfish","aulostomus chinensis",65134886,"LC",1,2020
"pygmy pipefish","micrognathus brevirostris",65370525,"LC",1,2020
"myers' pipefish","minyichthys myersi",65371194,"LC",1,2020
"short dragonfish","eurypegasus draconis",8407,"LC",1,2020
"dogtooth tuna","gymnosarda unicolor",170342,"LC",1,2020
"skipjack tuna","katsuwonus pelamis",170310,"LC",1,2020
"kawakawa","euthynnus affinis",170336,"LC",1,2020
"pacific bluefin tuna","thunnus orientalis",170341,"VU",0.6,2020
"yellowfin tuna","thunnus albacares",21857,"NT",0.8,2020
"blue marlin","makaira nigricans",170314,"VU",0.6,2020
"shortbill spearfish","tetrapturus angustirostris",170315,"DD",NA,2020
"albacore tuna","thunnus alalunga",21856,"NT",0.8,2020
"swordfish","xiphias gladius",23148,"LC",1,2020
"striped marlin","kajikia audax",170309,"NT",0.8,2020
"bigeye tuna","thunnus obesus",21859,"VU",0.6,2020
"sailfish","istiophorus platypterus",170338,"LC",1,2020
"black marlin","istiompax indica",170312,"DD",NA,2020
"tripletail wrasse","cheilinus trilobatus",154623,"LC",1,2020
"white-spotted wrasse","anampses melanurus",155146,"LC",1,2020
"dusky wrasse","halichoeres marginatus",187382,"LC",1,2020
"white-dotted maori wrasse","cheilinus chlorourus",187384,"LC",1,2020
"yellow-banded possum wrasse","wetmorella nigropinnata",187407,"LC",1,2020
"red-spot razor wrasse","iniistius pentadactylus",187411,"LC",1,2020
"african clown wrasse","coris gaimard",187436,"LC",1,2020
"olive-scribbled wrasse","novaculichthys taeniourus",187441,"LC",1,2020
"exquisite wrasse","cirrhilabrus exquisitus",187461,"DD",NA,2020
"six-line wrasse","pseudocheilinus hexataenia",187477,"LC",1,2020
"bluntheaded wrasse","thalassoma amblycephalum",187490,"LC",1,2020
"finescale razorfish","cymolutes torquatus",187530,"LC",1,2020
"six-banded wrasse","thalassoma hardwicke",187559,"LC",1,2020
"polynesian slender wrasse","pseudojuloides atavai",187586,"DD",NA,2020
"rust-banded wrasse","pseudocoris aurantiofasciata",187642,"LC",1,2020
"checkerboard wrasse","halichoeres hortulanus",187673,"LC",1,2020
"whiteband maori wrasse","oxycheilinus unifasciatus",187674,"LC",1,2020
"yellow-brown wrasse","thalassoma lutescens",187685,"LC",1,2020
"thin-line maori wrasse","oxycheilinus arenatus",187718,"LC",1,2020
"sling-jaw wrasse","epibulus insidiator",187722,"LC",1,2020
"five striped surge wrasse","thalassoma quinquevittatum",187733,"LC",1,2020
NA,"oxycheilinus lineatus",187737,"LC",1,2020
"four-lined wrasse","pseudocheilinus tetrataenia",187740,"LC",1,2020
NA,"labropsis polynesica",187743,"LC",1,2020
"purple wrasse","thalassoma purpureum",187746,"LC",1,2020
"yellowstriped hogfish","polylepion russelli",187777,"LC",1,2020
"carolines parrotfish","calotomus carolinus",190688,"LC",1,2020
"bicolor parrotfish","cetoscarus ocellatus",190691,"LC",1,2020
"globehead parrotfish","scarus globiceps",190694,"LC",1,2020
"filament-finned parrotfish","scarus altipinnis",190726,"LC",1,2020
"steephead parrotfish","chlorurus microrhinos",190728,"LC",1,2020
"common parrotfish","scarus psittacus",190736,"LC",1,2020
"dusky parrotfish","scarus niger",190740,"LC",1,2020
"forsten's parrotfish","scarus forsteni",190747,"LC",1,2020
"blue banded parrotfish","scarus pyrrostethus",190749,"LC",1,2020
"blue parrotfish","scarus oviceps",154960,"LC",1,2020
"yellowband parrotfish","scarus schlegeli",155290,"LC",1,2020
"white-barred pink wrasse","pseudocheilinus ocellatus",155314,"LC",1,2020
"barred thicklip wrasse","hemigymnus fasciatus",187373,"LC",1,2020
"sharp-nosed rainbowfish","cheilio inermis",187383,"LC",1,2020
"blue-streak cleaner wrasse","labroides dimidiatus",187396,"LC",1,2020
"red-spot rainbowfish","stethojulis bandanensis",187424,"LC",1,2020
"pearl-spotted wrasse","halichoeres margaritaceus",187443,"LC",1,2020
"three-spot wrasse","halichoeres trimaculatus",187474,"LC",1,2020
"silver-streaked rainbowfish","stethojulis strigiventer",187489,"LC",1,2020
"turncoat hogfish","bodianus axillaris",187516,"LC",1,2020
"twospot maori wrasse","oxycheilinus bimaculatus",187523,"LC",1,2020
"purple club-nosed wrasse","gomphosus varius",187536,"LC",1,2020
"whitebanded sharpnose wrasse","wetmorella albofasciata",187556,"LC",1,2020
"ocellated wrasse","halichoeres melasmapomus",187564,"LC",1,2020
"scott's wrasse","cirrhilabrus scottorum",187599,"LC",1,2020
"eightstripe wrasse","pseudocheilinus octotaenia",187621,"LC",1,2020
"long blue-lined wrasse","pseudojuloides cerasinus",187626,"DD",NA,2020
"point-head maori wrasse","cheilinus oxycephalus",187649,"LC",1,2020
"disappearing wrasse","pseudocheilinus evanidus",187658,"LC",1,2020
"knife razorfish","cymolutes praetextatus",187681,"LC",1,2020
"blackspotted wrasse","macropharyngodon meleagris",187692,"LC",1,2020
"narrow-banded rainbowfish","hologymnosus annulatus",187698,"LC",1,2020
NA,"halichoeres claudia",187699,"LC",1,2020
"indianfish blue razorfish","iniistius pavo",187705,"LC",1,2020
"green-blocked wrasse","thalassoma trilobatum",187707,"LC",1,2020
"chisel-tooth wrasse","pseudodax moluccanus",187713,"LC",1,2020
"lyre-tail hogfish","bodianus anthioides",187715,"LC",1,2020
"bluespotted wrasse","anampses caeruleopunctatus",187716,"LC",1,2020
"spotted wrasse","anampses meleagrides",187723,"LC",1,2020
"redlip cleaner wrasse","labroides rubrolabiatus",187755,"LC",1,2020
"two-colour cleaner wrasse","labroides bicolor",187767,"LC",1,2020
"halstead's razorfish","xyrichtys halsteadi",187782,"LC",1,2020
"yellowbreasted wrasse","anampses twistii",187784,"LC",1,2020
"false clownwrasse","coris aygula",187802,"LC",1,2020
"tricolour parrotfish","scarus tricolor",190704,"LC",1,2020
"bullethead parrotfish","chlorurus spilurus",190727,"LC",1,2020
"ember parrotfish","scarus rubroviolaceus",190731,"LC",1,2020
"pacific longnose parrotfish","hipposcarus longiceps",190745,"LC",1,2020
"bridled parrotfish","scarus frenatus",190755,"LC",1,2020
"marbled parrotfish","leptoscarus vaigiensis",190756,"LC",1,2020
"tan-faced parrotfish","chlorurus frontalis",190762,"LC",1,2020
"swamp harrier","circus approximans",22695363,"LC",1,2020
"pacific reef-egret","egretta sacra",22696980,"LC",1,2020
"white-bellied storm-petrel","fregetta grallaria",22698465,"LC",1,2020
"black-bellied storm-petrel","fregetta tropica",22698459,"LC",1,2020
"chatham albatross","thalassarche eremita",22698393,"VU",0.6,2020
"common white tern","gygis alba",22694821,"LC",1,2020
"wilson's storm-petrel","oceanites oceanicus",22698436,"LC",1,2020
"polynesian storm-petrel","nesofregetta fuliginosa",22698471,"EN",0.4,2020
"bristle-thighed curlew","numenius tahitiensis",22693182,"VU",0.6,2020
"grey-backed tern","onychoprion lunatus",22694722,"LC",1,2020
"white-faced storm-petrel","pelagodroma marina",22698453,"LC",1,2020
"blue noddy","anous ceruleus",22727746,"LC",1,2020
"tahiti petrel","pseudobulweria rostrata",22697925,"NT",0.8,2020
"kermadec petrel","pterodroma neglecta",22698027,"LC",1,2020
"phoenix petrel","pterodroma alba",22698001,"EN",0.4,2020
"white-necked petrel","pterodroma cervicalis",22697957,"VU",0.6,2020
"herald petrel","pterodroma heraldica",22698012,"LC",1,2020
"tropical shearwater","puffinus bailloni",22734070,"LC",1,2020
"christmas shearwater","puffinus nativitatis",22698222,"LC",1,2020
"greater crested tern","thalasseus bergii",22694571,"LC",1,2020
"wandering tattler","tringa incana",22693305,"LC",1,2020
"spotless crake","zapornia tabuensis",22692705,"LC",1,2020
"henderson petrel","pterodroma atrata",22728442,"EN",0.4,2020
"tahiti swallow","hirundo tahitica",104006414,"LC",1,2020
"black petrel","procellaria parkinsoni",22698150,"VU",0.6,2020
"cook's petrel","pterodroma cookii",22697975,"VU",0.6,2020
"mottled petrel","pterodroma inexpectata",22697963,"NT",0.8,2020
"black-winged petrel","pterodroma nigripennis",22697954,"LC",1,2020
"white-winged petrel","pterodroma leucoptera",22697970,"VU",0.6,2020
"murphy's petrel","pterodroma ultima",22698039,"NT",0.8,2020
"masked booby","sula dactylatra",22736173,"LC",1,2020
"brown booby","sula leucogaster",22696698,"LC",1,2020
"red-footed booby","sula sula",22696694,"LC",1,2020
"buller's shearwater","ardenna bulleri",22698182,"VU",0.6,2020
"collared petrel","pterodroma brevipes",22697987,"VU",0.6,2020
"red-tailed tropicbird","phaethon rubricauda",22696641,"LC",1,2020
"pacific black duck","anas superciliosa",22680217,"LC",1,2020
"brown noddy","anous stolidus",22694794,"LC",1,2020
"black noddy","anous minutus",22694799,"LC",1,2020
"ruddy turnstone","arenaria interpres",22693336,"LC",1,2020
"green-backed heron","butorides striata",22728182,"LC",1,2020
"lesser frigatebird","fregata ariel",22697738,"LC",1,2020
"white-tailed tropicbird","phaethon lepturus",22696645,"LC",1,2020
"wedge-tailed shearwater","ardenna pacifica",22698175,"LC",1,2020
"short-tailed shearwater","ardenna tenuirostris",22698216,"LC",1,2020
"great frigatebird","fregata minor",22697733,"LC",1,2020
"sooty tern","onychoprion fuscatus",22694740,"LC",1,2020
