name,sciname,iucn_sid,population,category
darkfin hind,cephalopholis urodeta,132783,NA,LC
one-blotch grouper,epinephelus melanostigma,132746,NA,LC
giant grouper,epinephelus lanceolatus,7858,NA,DD
golden grouper,saloptia powelli,132816,NA,LC
blacktip grouper,epinephelus fasciatus,132817,NA,LC
surge grouper,epinephelus socialis,132731,NA,LC
yellow-edged lyretail,variola louti,132738,NA,LC
six-blotch hind,cephalopholis sexmaculata,132741,NA,LC
reticulate grouper,epinephelus tuamotuensis,64407,NA,LC
bullseye reef lobster,enoplometopus holthuisi,185024,NA,DD
longlegged spiny lobster,panulirus longipes,170066,NA,LC
NA,enoplometopus gracilipes,185005,NA,DD
royal spanish lobster,arctides regalis,170063,NA,LC
sculptured mitten lobster,parribacus antarcticus,170071,NA,LC
white-whiskered coral crayfish,panulirus femoristriga,170031,NA,LC
NA,stereomastis suhmi,185036,NA,LC
antarctic minke whale,balaenoptera bonaerensis,2480,NA,NT
false killer whale,pseudorca crassidens,18596,NA,NT
honeycomb toby,canthigaster janthinoptera,193766,NA,LC
spider-eye puffer,canthigaster amboinensis,193675,NA,LC
spotted sharpnose,canthigaster solandri,193775,NA,LC
valentini's sharpnose puffer,canthigaster valentini,193796,NA,LC
bennett's sharpnose puffer,canthigaster bennetti,193656,NA,LC
white-spotted puffer,arothron hispidus,193699,NA,LC
white thread fish,holothuria leucospilota,180375,NA,LC
greenfish,stichopus chloronotus,180477,NA,LC
NA,holothuria fuscogilva,200715,NA,VU
NA,holothuria hilla,180235,NA,LC
NA,stichopus monotuberculatus,180367,NA,DD
NA,holothuria pervicax,180525,NA,LC
NA,holothuria difficilis,180246,NA,LC
selenka's sea cucumber,stichopus horrens,180488,NA,DD
NA,holothuria flavomaculata,180483,NA,LC
amberfish,thelenota anax,180324,NA,DD
NA,holothuria turriscelsa,180499,NA,LC
NA,holothuria pardalis,180286,NA,LC
NA,holothuria discrepans,180500,NA,DD
black teatfish,holothuria whitmaei,180440,NA,EN
bottleneck sea cucumber,holothuria impatiens,180512,NA,DD
pinkfish,holothuria edulis,180400,NA,LC
NA,holothuria hawaiiensis,180451,NA,LC
NA,holothuria fuscocinerea,180494,NA,LC
brown sandfish,bohadschia vitiensis,180352,NA,DD
brownspotted sandfish,bohadschia similis,180386,NA,DD
leopardfish,bohadschia argus,180541,NA,LC
blackspotted sea cucumber,pearsonothuria graeffei,180248,NA,LC
NA,actinopyga varians,19708732,NA,DD
NA,holothuria verrucosa,180231,NA,LC
NA,holothuria arenicola,180437,NA,DD
paddle grass,halophila decipiens,173352,NA,LC
two-spot bristletooth,ctenochaetus binotatus,177955,NA,LC
blackstreak surgeonfish,acanthurus nigricauda,178017,NA,LC
longnose tang,zebrasoma rostratum,178001,NA,DD
palefin unicornfish,naso brevirostris,177990,NA,LC
hawaiian bristletooth,ctenochaetus hawaiiensis,178014,NA,LC
convict surgeonfish,acanthurus triostegus,177965,NA,LC
yellowfin surgeonfish,acanthurus xanthopterus,177989,NA,LC
humpback unicornfish,naso brachycentron,177983,NA,LC
whitemargin unicornfish,naso annulatus,177988,NA,LC
lined surgeonfish,acanthurus lineatus,177993,NA,LC
bignose unicornfish,naso vlamingii,155120,NA,LC
blue-spotted bristletooth,ctenochaetus marginatus,177964,NA,LC
thompson's surgeonfish,acanthurus thompsoni,178008,NA,LC
golden rim surgeonfish,acanthurus nigricans,177969,NA,LC
mimic surgeonfish,acanthurus pyroferus,178022,NA,LC
orange band surgeonfish,acanthurus olivaceus,177991,NA,LC
whitebar surgeonfish,acanthurus leucopareius,178011,NA,LC
sailfin tang,zebrasoma veliferum,178010,NA,LC
gray unicornfish,naso caesius,178013,NA,LC
brushtail tang,zebrasoma scopas,178005,NA,LC
achilles tang,acanthurus achilles,177960,NA,LC
ringtail surgeonfish,acanthurus blochii,177971,NA,LC
whitetail bristletooth,ctenochaetus flavicauda,178018,NA,LC
brown surgeonfish,acanthurus nigrofuscus,178019,NA,LC
sleek unicornfish,naso hexacanthus,178002,NA,LC
elongate surgeonfish,acanthurus mata,177967,NA,LC
dropoff surgeonfish,acanthurus nubilus,177961,NA,LC
banded pipefish,dunckerocampus dactyliophorus,6814,NA,DD
red cornetfish,fistularia petimba,16781113,NA,LC
bluespotted cornetfish,fistularia commersonii,18257780,NA,LC
opossum pipefish,microphis brachyurus,181547,NA,LC
bluestripe pipefish,doryrhamphus excisus,183214,NA,LC
flat-nosed pipefish,microphis argulus,196441,NA,LC
sculptured pipefish,choeroichthys sculptus,65364553,NA,LC
black-breasted pipefish,corythoichthys nigripectus,65365012,NA,LC
lord howe pipefish,cosmocampus howensis,65365838,NA,LC
chinese trumpetfish,aulostomus chinensis,65134886,NA,LC
pygmy pipefish,micrognathus brevirostris,65370525,NA,LC
myers' pipefish,minyichthys myersi,65371194,NA,LC
short dragonfish,eurypegasus draconis,8407,NA,LC
dogtooth tuna,gymnosarda unicolor,170342,NA,LC
tripletail wrasse,cheilinus trilobatus,154623,NA,LC
white-spotted wrasse,anampses melanurus,155146,NA,LC
dusky wrasse,halichoeres marginatus,187382,NA,LC
white-dotted maori wrasse,cheilinus chlorourus,187384,NA,LC
yellow-banded possum wrasse,wetmorella nigropinnata,187407,NA,LC
red-spot razor wrasse,iniistius pentadactylus,187411,NA,LC
african clown wrasse,coris gaimard,187436,NA,LC
olive-scribbled wrasse,novaculichthys taeniourus,187441,NA,LC
exquisite wrasse,cirrhilabrus exquisitus,187461,NA,DD
six-line wrasse,pseudocheilinus hexataenia,187477,NA,LC
bluntheaded wrasse,thalassoma amblycephalum,187490,NA,LC
finescale razorfish,cymolutes torquatus,187530,NA,LC
polynesian slender wrasse,pseudojuloides atavai,187586,NA,DD
rust-banded wrasse,pseudocoris aurantiofasciata,187642,NA,LC
checkerboard wrasse,halichoeres hortulanus,187673,NA,LC
whiteband maori wrasse,oxycheilinus unifasciatus,187674,NA,LC
yellow-brown wrasse,thalassoma lutescens,187685,NA,LC
thin-line maori wrasse,oxycheilinus arenatus,187718,NA,LC
five striped surge wrasse,thalassoma quinquevittatum,187733,NA,LC
NA,oxycheilinus lineatus,187737,NA,LC
four-lined wrasse,pseudocheilinus tetrataenia,187740,NA,LC
NA,labropsis polynesica,187743,NA,LC
purple wrasse,thalassoma purpureum,187746,NA,LC
yellowstriped hogfish,polylepion russelli,187777,NA,LC
carolines parrotfish,calotomus carolinus,190688,NA,LC
bicolor parrotfish,cetoscarus ocellatus,190691,NA,LC
globehead parrotfish,scarus globiceps,190694,NA,LC
filament-finned parrotfish,scarus altipinnis,190726,NA,LC
steephead parrotfish,chlorurus microrhinos,190728,NA,LC
dusky parrotfish,scarus niger,190740,NA,LC
forsten's parrotfish,scarus forsteni,190747,NA,LC
blue banded parrotfish,scarus pyrrostethus,190749,NA,LC
blue parrotfish,scarus oviceps,154960,NA,LC
yellowband parrotfish,scarus schlegeli,155290,NA,LC
white-barred pink wrasse,pseudocheilinus ocellatus,155314,NA,LC
barred thicklip wrasse,hemigymnus fasciatus,187373,NA,LC
sharp-nosed rainbowfish,cheilio inermis,187383,NA,LC
red-spot rainbowfish,stethojulis bandanensis,187424,NA,LC
pearl-spotted wrasse,halichoeres margaritaceus,187443,NA,LC
three-spot wrasse,halichoeres trimaculatus,187474,NA,LC
silver-streaked rainbowfish,stethojulis strigiventer,187489,NA,LC
turncoat hogfish,bodianus axillaris,187516,NA,LC
twospot maori wrasse,oxycheilinus bimaculatus,187523,NA,LC
purple club-nosed wrasse,gomphosus varius,187536,NA,LC
whitebanded sharpnose wrasse,wetmorella albofasciata,187556,NA,LC
ocellated wrasse,halichoeres melasmapomus,187564,NA,LC
scott's wrasse,cirrhilabrus scottorum,187599,NA,LC
eightstripe wrasse,pseudocheilinus octotaenia,187621,NA,LC
long blue-lined wrasse,pseudojuloides cerasinus,187626,NA,DD
point-head maori wrasse,cheilinus oxycephalus,187649,NA,LC
disappearing wrasse,pseudocheilinus evanidus,187658,NA,LC
knife razorfish,cymolutes praetextatus,187681,NA,LC
blackspotted wrasse,macropharyngodon meleagris,187692,NA,LC
narrow-banded rainbowfish,hologymnosus annulatus,187698,NA,LC
NA,halichoeres claudia,187699,NA,LC
indianfish blue razorfish,iniistius pavo,187705,NA,LC
green-blocked wrasse,thalassoma trilobatum,187707,NA,LC
chisel-tooth wrasse,pseudodax moluccanus,187713,NA,LC
lyre-tail hogfish,bodianus anthioides,187715,NA,LC
bluespotted wrasse,anampses caeruleopunctatus,187716,NA,LC
spotted wrasse,anampses meleagrides,187723,NA,LC
redlip cleaner wrasse,labroides rubrolabiatus,187755,NA,LC
two-colour cleaner wrasse,labroides bicolor,187767,NA,LC
halstead's razorfish,xyrichtys halsteadi,187782,NA,LC
yellowbreasted wrasse,anampses twistii,187784,NA,LC
false clownwrasse,coris aygula,187802,NA,LC
tricolour parrotfish,scarus tricolor,190704,NA,LC
bullethead parrotfish,chlorurus spilurus,190727,NA,LC
ember parrotfish,scarus rubroviolaceus,190731,NA,LC
pacific longnose parrotfish,hipposcarus longiceps,190745,NA,LC
bridled parrotfish,scarus frenatus,190755,NA,LC
marbled parrotfish,leptoscarus vaigiensis,190756,NA,LC
tan-faced parrotfish,chlorurus frontalis,190762,NA,LC
swamp harrier,circus approximans,22695363,NA,LC
grey-backed tern,onychoprion lunatus,22694722,NA,LC
blue noddy,anous ceruleus,22727746,NA,LC
greater crested tern,thalasseus bergii,22694571,NA,LC
spotless crake,zapornia tabuensis,22692705,NA,LC
tahiti swallow,hirundo tahitica,104006414,NA,LC
pacific black duck,anas superciliosa,22680217,NA,LC
ruddy turnstone,arenaria interpres,22693336,NA,LC
green-backed heron,butorides striata,22728182,NA,LC
