sciname,pop_trend,trend_score,trend_source,class,region_id,year
sphyrna lewini,Decreasing,0.03137,lm,chondrichthyes,1,2020
carcharhinus amblyrhynchos,Unknown,0,lm,chondrichthyes,1,2020
prionace glauca,Decreasing,-0,lm,chondrichthyes,1,2020
negaprion acutidens,Decreasing,3e-4,regr,chondrichthyes,1,2020
alopias pelagicus,Decreasing,0.02,lm,chondrichthyes,1,2020
aetobatus narinari,Decreasing,3e-4,regr,chondrichthyes,1,2020
carcharhinus leucas,Unknown,0,lm,chondrichthyes,1,2020
carcharodon carcharias,Decreasing,0,lm,chondrichthyes,1,2020
aetobatus ocellatus,Decreasing,3e-4,regr,chondrichthyes,1,2020
triaenodon obesus,Unknown,0,lm,chondrichthyes,1,2020
alopias vulpinus,Decreasing,0,lm,chondrichthyes,1,2020
nebrius ferrugineus,Decreasing,3e-4,regr,chondrichthyes,1,2020
gymnura poecilura,Decreasing,3e-4,regr,chondrichthyes,1,2020
sphyrna mokarran,Decreasing,0.01667,lm,chondrichthyes,1,2020
isurus paucus,Decreasing,0.01538,lm,chondrichthyes,1,2020
pseudocarcharias kamoharai,Increasing,-0.0107,lm,chondrichthyes,1,2020
galeocerdo cuvier,Decreasing,-0,lm,chondrichthyes,1,2020
pteroplatytrygon violacea,Unknown,0,lm,chondrichthyes,1,2020
megachasma pelagios,Unknown,0,lm,chondrichthyes,1,2020
isurus oxyrinchus,Decreasing,0.02103,lm,chondrichthyes,1,2020
mobula alfredi,Decreasing,0,lm,chondrichthyes,1,2020
carcharhinus albimarginatus,Decreasing,0.02857,lm,chondrichthyes,1,2020
carcharhinus limbatus,Unknown,-0.01278,lm,chondrichthyes,1,2020
carcharhinus falciformis,Decreasing,0.01838,lm,chondrichthyes,1,2020
carcharhinus galapagensis,Unknown,-0.0125,lm,chondrichthyes,1,2020
mobula birostris,Decreasing,0,lm,chondrichthyes,1,2020
rhincodon typus,Decreasing,0.01343,lm,chondrichthyes,1,2020
carcharhinus longimanus,Decreasing,0.02523,lm,chondrichthyes,1,2020
conus retifer,Decreasing,3e-4,regr,gastropoda,1,2020
goniopora somaliensis,Unknown,0,lm,anthozoa,1,2020
leptastrea transversa,Decreasing,0,lm,anthozoa,1,2020
montipora verrilli,Decreasing,3e-4,regr,anthozoa,1,2020
leptoseris mycetoseroides,Unknown,0,lm,anthozoa,1,2020
leptoseris scabra,Unknown,0,lm,anthozoa,1,2020
montipora informis,Decreasing,0,lm,anthozoa,1,2020
pavona cactus,Unknown,0,lm,anthozoa,1,2020
acropora retusa,Decreasing,3e-4,regr,anthozoa,1,2020
acropora tenuis,Decreasing,0,lm,anthozoa,1,2020
favia pallida,Decreasing,0,lm,anthozoa,1,2020
acropora clathrata,Decreasing,3e-4,regr,anthozoa,1,2020
pavona frondifera,Unknown,0,lm,anthozoa,1,2020
acropora cytherea,Decreasing,3e-4,regr,anthozoa,1,2020
acropora rambleri,Decreasing,3e-4,regr,anthozoa,1,2020
podabacia crustacea,Unknown,0,lm,anthozoa,1,2020
astreopora myriophthalma,Decreasing,0,lm,anthozoa,1,2020
montipora australiensis,Decreasing,3e-4,regr,anthozoa,1,2020
leptoria phrygia,Decreasing,0,lm,anthozoa,1,2020
alveopora allingi,Unknown,0,lm,anthozoa,1,2020
acropora inermis,Decreasing,3e-4,regr,anthozoa,1,2020
barabattoia laddi,Decreasing,0,lm,anthozoa,1,2020
acropora nana,Decreasing,3e-4,regr,anthozoa,1,2020
acropora samoensis,Decreasing,0,lm,anthozoa,1,2020
pachyseris speciosa,Unknown,0,lm,anthozoa,1,2020
favia stelligera,Decreasing,0,lm,anthozoa,1,2020
stylophora pistillata,Unknown,0,lm,anthozoa,1,2020
acropora speciosa,Decreasing,3e-4,regr,anthozoa,1,2020
plerogyra sinuosa,Unknown,0,lm,anthozoa,1,2020
goniastrea australensis,Decreasing,0,lm,anthozoa,1,2020
acropora glauca,Decreasing,3e-4,regr,anthozoa,1,2020
acropora abrotanoides,Decreasing,0,lm,anthozoa,1,2020
favia rotumana,Decreasing,0,lm,anthozoa,1,2020
porites vaughani,Unknown,0,lm,anthozoa,1,2020
pavona varians,Unknown,0,lm,anthozoa,1,2020
psammocora haimeana,Unknown,0,lm,anthozoa,1,2020
echinophyllia aspera,Unknown,0,lm,anthozoa,1,2020
montipora angulata,Decreasing,3e-4,regr,anthozoa,1,2020
acropora austera,Decreasing,3e-4,regr,anthozoa,1,2020
pavona maldivensis,Unknown,0,lm,anthozoa,1,2020
montipora venosa,Decreasing,0,lm,anthozoa,1,2020
acropora humilis,Decreasing,0,lm,anthozoa,1,2020
turbinaria reniformis,Unknown,0,lm,anthozoa,1,2020
echinopora lamellosa,Decreasing,0,lm,anthozoa,1,2020
favia favus,Decreasing,0,lm,anthozoa,1,2020
montipora floweri,Decreasing,0,lm,anthozoa,1,2020
acropora tortuosa,Decreasing,3e-4,regr,anthozoa,1,2020
psammocora superficialis,Unknown,0,lm,anthozoa,1,2020
acropora lutkeni,Decreasing,0,lm,anthozoa,1,2020
montipora spumosa,Decreasing,3e-4,regr,anthozoa,1,2020
acropora striata,Decreasing,0,lm,anthozoa,1,2020
